sample,rootstock,scion,location,year
C_1,5C,chard,san joaquin,y2018
C_2,5C,chard,san joaquin,y2018
C_3,5C,chard,san joaquin,y2018
C_4,1103P,chard,san joaquin,y2018
C_5,1103P,chard,san joaquin,y2018
C_6,1103P,chard,san joaquin,y2018
C_7,freedom,chard,san joaquin,y2018
C_8,freedom,chard,san joaquin,y2018
C_9,freedom,chard,san joaquin,y2018
C_10,freedom,cab,san joaquin,y2018
C_11,freedom,cab,san joaquin,y2018
C_12,freedom,cab,san joaquin,y2018
C_13,5C,cab,san joaquin,y2018
C_14,5C,cab,san joaquin,y2018
C_15,5C,cab,san joaquin,y2018
C_16,1103P,cab,san joaquin,y2018
C_17,1103P,cab,san joaquin,y2018
C_18,1103P,cab,san joaquin,y2018
C_19,1103P,cab,merced,y2018
C_20,1103P,cab,merced,y2018
C_21,1103P,cab,merced,y2018
C_22,freedom,cab,merced,y2018
C_23,freedom,cab,merced,y2018
C_24,freedom,cab,merced,y2018
C_25,freedom,chard,merced,y2018
C_26,freedom,chard,merced,y2018
C_27,freedom,chard,merced,y2018
C_28,5C,chard,merced,y2018
C_29,5C,chard,merced,y2018
C_30,5C,chard,merced,y2018
C_31,5C,cab,madera,y2018
C_32,5C,cab,madera,y2018
C_33,5C,cab,madera,y2018
C_34,1103P,chard,madera,y2018
C_35,1103P,chard,madera,y2018
C_36,1103P,chard,madera,y2018
C_37,freedom,cab,madera,y2018
C_38,freedom,cab,madera,y2018
C_39,freedom,cab,madera,y2018
C_40,freedom,chard,madera,y2018
C_41,freedom,chard,madera,y2018
C_42,freedom,chard,madera,y2018
C_43,5C,cab,san joaquin,y2018
C_44,5C,cab,san joaquin,y2018
C_45,5C,cab,san joaquin,y2018
C_46,1103P,cab,san joaquin,y2018
C_47,1103P,cab,san joaquin,y2018
C_48,1103P,cab,san joaquin,y2018
C_49,freedom,cab,san joaquin,y2018
C_50,freedom,cab,san joaquin,y2018
C_51,freedom,cab,san joaquin,y2018
C_52,1103P,chard,san joaquin,y2018
C_53,1103P,chard,san joaquin,y2018
C_54,1103P,chard,san joaquin,y2018
C_55,5C,chard,san joaquin,y2018
C_56,5C,chard,san joaquin,y2018
C_57,5C,chard,san joaquin,y2018
C_58,freedom,chard,san joaquin,y2018
C_59,freedom,chard,san joaquin,y2018
C_60,freedom,chard,san joaquin,y2018
C_61,freedom,cab,merced,y2018
C_62,freedom,cab,merced,y2018
C_63,freedom,cab,merced,y2018
C_64,freedom,chard,merced,y2018
C_65,freedom,chard,merced,y2018
C_66,freedom,chard,merced,y2018
C_67,5C,chard,merced,y2018
C_68,5C,chard,merced,y2018
